contractKey, balance 
45654,50.00 
45710,50.00 
46423,50.00 
34785,86.00 
46261,50.00 
47014,50.00 
46709,50.00 
46708,50.00 
47733,50.00 
47700,50.00 
47594,50.00 
47238,50.00 
47335,50.00 
47388,50.00 
45843,50.00 
48530,50.00 
46390,50.00 
47024,50.00 
48030,50.00 
48281,50.00 
48956,50.00 
48965,50.00 
48938,50.00 
48939,50.00 
34168,86.00 
33994,86.00 
46070,50.00 
49383,50.00 
49414,50.00 
49421,50.00 
49446,50.00 
49493,50.00 
49535,50.00 
49536,50.00 
49543,106.00 
49553,50.00 
49554,50.00 
49583,50.00 
49618,50.00 
49638,50.00 
49647,50.00 
49651,50.00 
49658,50.00 
49720,50.00 
49005,50.00 
49022,50.00 
48888,50.00 
49214,50.00 
48832,50.00 
46805,40.00 
45826,40.00 
45803,40.00 
45744,40.00 
45591,40.00 
45471,40.00 
45375,40.00 
34421,67.00 
33973,67.00 
34461,67.00 
34436,67.00 
34756,67.00 
34185,62.26 
46564,40.00 
46297,40.00 
46248,40.00 
46177,40.00 
46178,40.00 
46584,40.00 
46726,40.00 
49312,40.00 
47749,40.00 
47737,40.00 
47389,40.00 
47524,40.00 
48418,40.00 
48575,40.00 
48785,40.00 
48803,82.00 
48946,40.00 
48970,40.00 
48990,40.00 
49052,40.00 
45862,40.00 
49133,40.00 
49386,40.00 
49390,40.00 
49427,40.00 
49622,40.00 
49792,40.00 
49904,40.00 
49965,40.00 
50007,40.00 
50011,82.00 
50015,40.00 
50060,40.00 
50061,40.00 
50083,40.00 
50108,82.00 
50109,82.00 
48048,40.00 
49695,40.00 
33670,46.00 
46396,30.00 
46494,30.00 
3764,-30.00 
45863,30.00 
34200,48.00 
46395,30.00 
34288,48.00 
33983,48.00 
46771,30.00 
45395,30.00 
45396,30.00 
45966,30.00 
46859,30.00 
46407,30.00 
46118,30.00 
46912,30.00 
46961,30.00 
46920,30.00 
46154,30.00 
46136,30.00 
47945,68.00 
47644,30.00 
47641,30.00 
47640,30.00 
47538,30.00 
47271,30.00 
47273,30.00 
47270,30.00 
47924,30.00 
47285,30.00 
46031,30.00 
46833,30.00 
48558,30.00 
48361,30.00 
48019,30.00 
47963,30.00 
48150,44.00 
48491,30.00 
48533,30.00 
48611,30.00 
48819,30.00 
48820,30.00 
49033,30.00 
49082,30.00 
49145,30.00 
48943,30.00 
49076,30.00 
48073,30.00 
49565,30.00 
49626,30.00 
49770,30.00 
49778,30.00 
50026,30.00 
50077,30.00 
50160,30.00 
49102,30.00 
47009,30.00 
49932,30.00 
50224,30.00 
50269,30.00 
50350,58.00 
50356,30.00 
50409,30.00 
50434,30.00 
50446,30.00 
50487,30.00 
50549,30.00 
50560,58.00 
50572,30.00 
50577,30.00 
50591,30.00 
50605,30.00 
50624,30.00 
50625,30.00 
50628,30.00 
50238,30.00 
50441,30.00 
50442,30.00 
50622,30.00 
49533,30.00 
50371,30.00 
